completed_at,exercise_title
2024-04-26T00:00:00.000Z,Slicers
2024-09-15T00:00:00.000Z,Querying relational databases directly with pandas
2024-06-09T00:00:00.000Z,Functions that return multiple values
2024-08-21T00:00:00.000Z,Using a plotting function
2024-10-13T00:00:00.000Z,Creating vector databases with ChromaDB
2024-08-28T00:00:00.000Z,MANIFEST - Including extra files with your package
2024-10-18T00:00:00.000Z,The big ideas
2024-11-05T00:00:00.000Z,Machine learning with scikit-learn
2024-08-21T00:00:00.000Z,Selecting a style for printing
2024-11-02T00:00:00.000Z,Chartjunk
2024-06-11T00:00:00.000Z,Writing an iterator to load data in chunks (4)
2024-09-10T00:00:00.000Z,Text classification
2024-07-20T00:00:00.000Z,What is OOP?
2024-06-10T00:00:00.000Z,Pop quiz about errors
2024-08-21T00:00:00.000Z,Saving your visualizations
2024-07-15T00:00:00.000Z,Acquiring data
2024-07-20T00:00:00.000Z,Create your first class
2024-10-13T00:00:00.000Z,To metadata or not to metadata?
2024-09-26T00:00:00.000Z,Is your model fair?
2024-09-25T00:00:00.000Z,Role-playing prompts for chatbots
2024-05-11T00:00:00.000Z,Know your audience
2024-06-15T00:00:00.000Z,Bringing it all together: Festivus! (4)
2024-09-02T00:00:00.000Z,Assigning data science project
2024-09-02T00:00:00.000Z,Digging into the response (2)
2024-09-02T00:00:00.000Z,Sentiment analysis and classification
2024-11-05T00:00:00.000Z,How many clusters?
2024-04-08T00:00:00.000Z,An AI workflow in medicine
2024-05-04T00:00:00.000Z,Introduction to DAX in Power BI
2024-09-19T00:00:00.000Z,Problem solving with LLMs
2024-09-01T00:00:00.000Z,Adding categories (2)
2024-08-28T00:00:00.000Z,Dealing with dependencies
2024-08-28T00:00:00.000Z,Structuring imports
2024-11-01T00:00:00.000Z,Interpreting pair plots
2024-09-10T00:00:00.000Z,Using the fine-tuned model
2024-10-15T00:00:00.000Z,Integrating document loaders
2024-06-10T00:00:00.000Z,Functions with multiple default arguments
2024-10-03T00:00:00.000Z,Data integrity and poisoning
2024-10-04T00:00:00.000Z,Moderation
2024-06-13T00:00:00.000Z,Zen of Python
2024-05-11T00:00:00.000Z,Create a scatter plot
2024-09-26T00:00:00.000Z,Where are LLMs heading?
2024-10-18T00:00:00.000Z,Installing packages with pip
2024-11-05T00:00:00.000Z,The classification challenge
2024-08-25T00:00:00.000Z,Starting a package
2024-04-26T00:00:00.000Z,Table
2024-08-21T00:00:00.000Z,Switching between styles (2)
2024-08-21T00:00:00.000Z,Preparing your figures to share with others
2024-09-01T00:00:00.000Z,Introduction to categorical plots using Seaborn
2024-10-15T00:00:00.000Z,Wrap-up!
2024-11-05T00:00:00.000Z,Train/test split + computing accuracy
2024-09-05T00:00:00.000Z,Customizing your pandas import
2024-09-01T00:00:00.000Z,Boxplot understanding
2024-08-21T00:00:00.000Z,Creating histograms
2024-06-11T00:00:00.000Z,Extracting information for large amounts of Twitter data
2024-04-26T00:00:00.000Z,Formatting currency
2024-10-15T00:00:00.000Z,PDF document loaders
2024-09-25T00:00:00.000Z,Reasoning with chain-of-thought prompts
2024-09-15T00:00:00.000Z,The structure of .mat in Python
2024-10-03T00:00:00.000Z,Monitoring and observability
2024-07-26T00:00:00.000Z,Flipping out (2)
2024-09-03T00:00:00.000Z,Transcribing a non-English language
2024-11-01T00:00:00.000Z,Motivating visualization
2024-09-25T00:00:00.000Z,Few-shot prompting
2024-09-01T00:00:00.000Z,Overcoming pitfalls: using NumPy arrays (3)
2024-10-13T00:00:00.000Z,Handling errors with Requests
2024-09-01T00:00:00.000Z,Updating categorical plots
2024-09-01T00:00:00.000Z,Updating categorical plots (2)
2024-08-14T00:00:00.000Z,Selector Objects
2024-09-01T00:00:00.000Z,Create lots of groups
2024-09-01T00:00:00.000Z,Accessing and filtering data (4)
2024-06-09T00:00:00.000Z,Recapping built-in functions
2024-10-18T00:00:00.000Z,Unit testing
2024-09-15T00:00:00.000Z,Ordering your SQL records with ORDER BY
2024-07-20T00:00:00.000Z,Inheritance of class attributes
2024-07-15T00:00:00.000Z,"Home, secured home"
2024-08-13T00:00:00.000Z,Gotta cluster 'em all!
2024-09-26T00:00:00.000Z,Focus of multi-head attention
2024-10-13T00:00:00.000Z,Basic Authentication with requests (2)
2024-10-13T00:00:00.000Z,Error handling
2024-04-26T00:00:00.000Z,Understanding AI subdomains
2024-09-02T00:00:00.000Z,Why data science?
2024-09-10T00:00:00.000Z,Processing image data
2024-06-13T00:00:00.000Z,A taste of things to come (3)
2024-09-08T00:00:00.000Z,Searching the Hub with Python
2024-06-11T00:00:00.000Z,List comprehensions
2024-09-26T00:00:00.000Z,Building an LLM
2024-09-25T00:00:00.000Z,Product description expansion
2024-09-01T00:00:00.000Z,Reordering categories
2024-09-26T00:00:00.000Z,Adapt a pre-trained model
2024-06-15T00:00:00.000Z,Code profiling for runtime
2024-06-15T00:00:00.000Z,Using %timeit: your turn!
2024-10-18T00:00:00.000Z,What does time.time() measure?
2024-09-10T00:00:00.000Z,Processing and classifying images
2024-06-11T00:00:00.000Z,Introduction to generator expressions
2024-09-25T00:00:00.000Z,Chain-of-thought and self-consistency prompting
2024-11-01T00:00:00.000Z,Another dimension for line plots
2024-09-25T00:00:00.000Z,Behavioral control of a customer support chatbot
2024-08-13T00:00:00.000Z,Machine learning lingo
2024-08-14T00:00:00.000Z,From XPath to CSS
2024-09-10T00:00:00.000Z,Creating an image classifier
2024-09-26T00:00:00.000Z,Creativity vs. efficiency
2024-09-01T00:00:00.000Z,Overcoming pitfalls: using NumPy arrays (2)
2024-10-04T00:00:00.000Z,Validation
2024-09-01T00:00:00.000Z,Exploring a target variable
2024-11-01T00:00:00.000Z,Interpreting box plots
2024-09-15T00:00:00.000Z,Filtering your database records using SQL's WHERE
2024-10-18T00:00:00.000Z,Column selection: .iloc[] vs by name
2024-10-12T00:00:00.000Z,Creating and deleting resources using an API (4)
2024-10-04T00:00:00.000Z,Calling external APIs
2024-04-27T00:00:00.000Z,Visualization options
2024-08-14T00:00:00.000Z,Where it's @
2024-10-18T00:00:00.000Z,Using inherited methods (2)
2024-09-01T00:00:00.000Z,Setting dtypes and saving memory (1)
2024-09-10T00:00:00.000Z,Visual question and answering
2024-08-13T00:00:00.000Z,Deep learning
2024-09-25T00:00:00.000Z,Multi-step prompting
2024-07-20T00:00:00.000Z,Add a class constructor (2)
2024-06-11T00:00:00.000Z,Iterating over iterables (1)
2024-09-26T00:00:00.000Z,Ethical and environmental concerns
2024-08-28T00:00:00.000Z,User dependencies
2024-09-02T00:00:00.000Z,Code explanation
2024-10-15T00:00:00.000Z,Creating custom tools
2024-07-26T00:00:00.000Z,Flipping out (3)
2024-10-18T00:00:00.000Z,Writing a class for your package (1)
2024-09-05T00:00:00.000Z,Not so flat any more
2024-08-14T00:00:00.000Z,Automate data-driven tasks
2024-09-15T00:00:00.000Z,Using File to import HDF5 files
2024-11-02T00:00:00.000Z,Multiple plots
2024-09-05T00:00:00.000Z,Pop quiz: what exactly are flat files?
2024-10-14T00:00:00.000Z,Filtering using metadata
2024-09-10T00:00:00.000Z,NLP and tokenization
2024-08-13T00:00:00.000Z,Machine learning workflow
2024-08-14T00:00:00.000Z,XPath Chaining
2024-07-14T00:00:00.000Z,Retrieving docstrings (2)
2024-08-28T00:00:00.000Z,Creating the test directory
2024-10-15T00:00:00.000Z,Splitting by character
2024-11-02T00:00:00.000Z,Sensory overload
2024-09-01T00:00:00.000Z,Reordering categories in a Series
2024-08-21T00:00:00.000Z,Defining a function that plots time-series data
2024-07-20T00:00:00.000Z,Exploring object interface (3)
2024-09-08T00:00:00.000Z,Loading datasets
2024-08-17T00:00:00.000Z,Crawler Time
2024-09-10T00:00:00.000Z,Use cases for embeddings
2024-04-26T00:00:00.000Z,Transforming and formatting columns
2024-08-13T00:00:00.000Z,Supervised vs unsupervised
2024-09-01T00:00:00.000Z,Seaborn bar plots
2024-08-21T00:00:00.000Z,Adding error-bars to a bar chart
2024-09-10T00:00:00.000Z,Resampling audio files
2024-06-10T00:00:00.000Z,Functions with variable-length arguments (*args)
2024-11-05T00:00:00.000Z,Introduction to regression
2024-07-14T00:00:00.000Z,Retrieving docstrings (1)
2024-10-03T00:00:00.000Z,RAG versus fine-tuning
2024-08-17T00:00:00.000Z,Scraping with Children
2024-07-21T00:00:00.000Z,Create and set properties (3)
2024-10-03T00:00:00.000Z,The application lifecycle
2024-07-21T00:00:00.000Z,Square and rectangle (4)
2024-08-13T00:00:00.000Z,True or false?
2024-07-15T00:00:00.000Z,Social challenges: the future of AI
2024-09-01T00:00:00.000Z,Reordering categories in a Series (2)
2024-09-15T00:00:00.000Z,Customizing the Hello World of SQL Queries
2024-10-12T00:00:00.000Z,The 4 most important HTTP Verbs
2024-04-27T00:00:00.000Z,Adding a filter
2024-06-11T00:00:00.000Z,Using Python generators for streaming data
2024-06-15T00:00:00.000Z,Using %timeit: formal name or literal syntax (3)
2024-10-03T00:00:00.000Z,The purpose of lifecycle phases
2024-10-14T00:00:00.000Z,Querying with multiple texts
2024-11-05T00:00:00.000Z,Binary classification
2024-04-27T00:00:00.000Z,Creating a hierarchy
2024-09-02T00:00:00.000Z,Examining moderation category scores
2024-09-15T00:00:00.000Z,Pandas for more complex querying
2024-10-04T00:00:00.000Z,Wrap-up
2024-07-20T00:00:00.000Z,Write a class from scratch
2024-09-01T00:00:00.000Z,Setting up a .groupby() statement
2024-08-13T00:00:00.000Z,Sentiment analysis
2024-06-10T00:00:00.000Z,Introduction to error handling
2024-06-11T00:00:00.000Z,Wrapping up comprehensions and generators.
2024-09-01T00:00:00.000Z,Removing categories (3)
2024-09-01T00:00:00.000Z,Label encoding
2024-07-14T00:00:00.000Z,Crafting a docstring (2)
2024-08-17T00:00:00.000Z,Starting with Start Requests
2024-10-18T00:00:00.000Z,Row selection: loc[] vs iloc[] (3)
2024-07-21T00:00:00.000Z,String representation of objects (1)
2024-10-03T00:00:00.000Z,The importance of prompt engineering
2024-11-05T00:00:00.000Z,Visualizing model complexity
2024-09-23T00:00:00.000Z,Combining Pokémon names and types (3)
2024-06-10T00:00:00.000Z,Nested Functions I
2024-09-10T00:00:00.000Z,Using min_length and max_length (2)
2024-10-13T00:00:00.000Z,Response codes and APIs
2024-10-13T00:00:00.000Z,Response codes and APIs (2)
2024-07-15T00:00:00.000Z,Paola and the fashion project
2024-10-18T00:00:00.000Z,Documentation & testing in practice
2024-09-15T00:00:00.000Z,Using h5py to import HDF5 files
2024-09-15T00:00:00.000Z,Pandas and The Hello World of SQL Queries!
2024-08-14T00:00:00.000Z,From Tree to HTML
2024-10-15T00:00:00.000Z,Introduction to LangChain agents
2024-09-10T00:00:00.000Z,Benefits and challenges of embeddings
2024-10-18T00:00:00.000Z,Row selection: loc[] vs iloc[] (2)
2024-10-18T00:00:00.000Z,Using pycodestyle
2024-07-15T00:00:00.000Z,Performance stories
2024-09-10T00:00:00.000Z,Semantic search versus keyword search
2024-09-25T00:00:00.000Z,Using delimited prompts with f-strings
2024-08-13T00:00:00.000Z,Limits of machine learning
2024-06-09T00:00:00.000Z,Strings in Python
2024-09-10T00:00:00.000Z,Using min_length and max_length
2024-10-03T00:00:00.000Z,Selecting the right base model
2024-07-20T00:00:00.000Z,Inheritance of class attributes (2)
2024-09-02T00:00:00.000Z,Visual EDA
2024-07-21T00:00:00.000Z,Create and set properties (4)
2024-10-18T00:00:00.000Z,Row selection: loc[] vs iloc[]
2024-09-02T00:00:00.000Z,Supervised vs. unsupervised
2024-06-11T00:00:00.000Z,Iterators as function arguments
2024-11-02T00:00:00.000Z,Polar coordinates
2024-09-23T00:00:00.000Z,Combining Pokémon names and types (2)
2024-08-14T00:00:00.000Z,Web-scraping is not nonsense!
2024-09-10T00:00:00.000Z,Document question and answering
2024-09-01T00:00:00.000Z,Cleaning variables (1)
2024-09-26T00:00:00.000Z,Un-biased and relevant
2024-10-13T00:00:00.000Z,API key authentication with requests (2)
2024-08-17T00:00:00.000Z,Parse and Crawl
2024-08-20T00:00:00.000Z,Customizing your plots
2024-09-23T00:00:00.000Z,Counting Pokémon from a sample
2024-06-09T00:00:00.000Z,A brief introduction to tuples
2024-04-27T00:00:00.000Z,Using the slicer
2024-08-15T00:00:00.000Z,All Level Text
2024-10-15T00:00:00.000Z,Defining a function for tool use
2024-08-20T00:00:00.000Z,Creating small multiples with plt.subplots
2024-11-04T00:00:00.000Z,Key characteristics
2024-09-26T00:00:00.000Z,Predict the next word
2024-06-10T00:00:00.000Z,Filter() and lambda functions
2024-09-02T00:00:00.000Z,Find and replace
2024-09-02T00:00:00.000Z,Generating and transforming text
2024-10-04T00:00:00.000Z,Building a function dictionary
2024-06-13T00:00:00.000Z,Bringing it all together: Festivus! (2)
2024-10-12T00:00:00.000Z,Constructing a URL with parameters (3)
2024-07-15T00:00:00.000Z,Deep Learning is here to stay
2024-08-28T00:00:00.000Z,Publishing your package
2024-08-15T00:00:00.000Z,CSS Attributes and Text Selection
2024-11-05T00:00:00.000Z,Unsupervised Learning
2024-07-15T00:00:00.000Z,Explainability and interpretability
2024-08-17T00:00:00.000Z,Hurl the URLs
2024-04-26T00:00:00.000Z,Your first visualization
2024-09-10T00:00:00.000Z,Word error rate
2024-10-03T00:00:00.000Z,Cost management
2024-09-08T00:00:00.000Z,Manipulating datasets
2024-10-15T00:00:00.000Z,HTML document loaders
2024-06-10T00:00:00.000Z,Reduce() and lambda functions
2024-10-14T00:00:00.000Z,Updating and deleting items from a collection
2024-09-26T00:00:00.000Z,Transformer components
2024-09-01T00:00:00.000Z,Cleaning variables (3)
2024-07-20T00:00:00.000Z,Create your first class (1)
2024-09-02T00:00:00.000Z,Digging into the response (1)
2024-09-01T00:00:00.000Z,Overcoming pitfalls: string issues (3)
2024-10-13T00:00:00.000Z,Computing cosine distances
2024-07-15T00:00:00.000Z,Paola and the human side of AI
2024-11-02T00:00:00.000Z,Understanding the cloud
2024-09-01T00:00:00.000Z,Collapsing categories
2024-08-14T00:00:00.000Z,AI vs. LLM applications
2024-09-26T00:00:00.000Z,Customer service of a bank
2024-08-21T00:00:00.000Z,Automate your visualization
2024-09-08T00:00:00.000Z,Transformers and the Hub
2024-06-13T00:00:00.000Z,Built-in practice: map()
2024-10-04T00:00:00.000Z,Formatting model response as JSON
2024-07-20T00:00:00.000Z,Exploring object interface (2)
2024-09-02T00:00:00.000Z,Chat Completions roles
2024-11-02T00:00:00.000Z,Cloud vs. on-premise
2024-09-01T00:00:00.000Z,Cleaning and accessing data
2024-10-05T00:00:00.000Z,What are embeddings?
2024-08-13T00:00:00.000Z,The process
2024-10-04T00:00:00.000Z,Including end-user IDs
2024-09-26T00:00:00.000Z,Learning techniques
2024-10-05T00:00:00.000Z,Digging into the embeddings response (1)
2024-10-18T00:00:00.000Z,Python modularity in the wild
2024-10-04T00:00:00.000Z,Moderation API
2024-08-14T00:00:00.000Z,"Get an ""a"" in this Course (1)"
2024-08-13T00:00:00.000Z,Classifying machine learning tasks
2024-09-26T00:00:00.000Z,Time to wrap-up
2024-10-18T00:00:00.000Z,Measuring time II
2024-06-15T00:00:00.000Z,Using %timeit: your turn! (1)
2024-09-25T00:00:00.000Z,"Zero-shot, one-shot, and few-shot prompting"
2024-09-25T00:00:00.000Z,Is this prompt effective?
2024-06-11T00:00:00.000Z,Zipping dictionaries
2024-11-04T00:00:00.000Z,Cloud service models
2024-09-15T00:00:00.000Z,Using read_stata to import Stata files
2024-08-28T00:00:00.000Z,Writing function documentation with pyment
2024-08-15T00:00:00.000Z,Top Level Text
2024-09-25T00:00:00.000Z,Sentiment analysis with few-shot prompting
2024-10-18T00:00:00.000Z,Writing requirements.txt
2024-08-28T00:00:00.000Z,Keeping your package stylish
2024-09-26T00:00:00.000Z,Responsible use
2024-09-01T00:00:00.000Z,Ordering categories (2)
2024-09-02T00:00:00.000Z,Classifying text sentiment
2024-09-05T00:00:00.000Z,Customizing your NumPy import
2024-10-13T00:00:00.000Z,Handling errors with Requests (2)
2024-09-02T00:00:00.000Z,Digging into the response (3)
2024-09-25T00:00:00.000Z,Iterative prompt engineering process
2024-10-15T00:00:00.000Z,Chat prompt templates
2024-09-25T00:00:00.000Z,Single-step prompt to plan a trip
2024-08-25T00:00:00.000Z,Putting your package to work
2024-08-14T00:00:00.000Z,Divvy Up This Exercise (1)
2024-10-03T00:00:00.000Z,Chains and agents
2024-04-26T00:00:00.000Z,Slicers and Tables
2024-09-15T00:00:00.000Z,Querying relational databases in Python
2024-10-18T00:00:00.000Z,PEP 8 in documentation
2024-04-26T00:00:00.000Z,Predictive vs Generative AI
2024-08-17T00:00:00.000Z,Pen Names
2024-09-10T00:00:00.000Z,The process of generating text
2024-10-15T00:00:00.000Z,Creating a Pinecone client
2024-11-01T00:00:00.000Z,Using color
2024-09-01T00:00:00.000Z,Create a label encoding and map (2)
2024-07-14T00:00:00.000Z,Crafting a docstring (4)
2024-09-25T00:00:00.000Z,Providing context through sample conversations
2024-09-03T00:00:00.000Z,Identifying audio language
2024-08-21T00:00:00.000Z,Simple scatter plot
2024-06-09T00:00:00.000Z,Single-parameter functions
2024-04-27T00:00:00.000Z,Drilling down and filtering
2024-10-03T00:00:00.000Z,Making a cost prognosis
2024-08-13T00:00:00.000Z,Spotting bias in machine learning
2024-06-11T00:00:00.000Z,Nested list comprehensions
2024-09-02T00:00:00.000Z,Building an OpenAI API request
2024-11-05T00:00:00.000Z,Clustering 2D points
2024-08-28T00:00:00.000Z,Building a distribution
2024-10-13T00:00:00.000Z,Final thoughts
2024-06-11T00:00:00.000Z,Congratulations!
2024-09-25T00:00:00.000Z,Iterative prompt engineering and refinement
2024-07-20T00:00:00.000Z,Class anatomy: attributes and methods
2024-09-08T00:00:00.000Z,Manipulating datasets (1)
2024-09-03T00:00:00.000Z,Translating Portuguese
2024-07-21T00:00:00.000Z,Catching exceptions
2024-08-14T00:00:00.000Z,The Source of the Source
2024-08-15T00:00:00.000Z,Selecting from a Selection (2)
2024-09-05T00:00:00.000Z,Listing sheets in Excel files
2024-05-11T00:00:00.000Z,Add a table and slicers
2024-10-18T00:00:00.000Z,Exploring with dir and help (2)
2024-07-21T00:00:00.000Z,Create and set properties (2)
2024-09-01T00:00:00.000Z,Point and count plots
2024-06-11T00:00:00.000Z,Writing an iterator to load data in chunks (3)
2024-09-01T00:00:00.000Z,Bar plot using hue (2)
2024-07-15T00:00:00.000Z,Unmasking a hotel booking AI system
2024-09-01T00:00:00.000Z,One-hot encoding specific columns
2024-07-28T00:00:00.000Z,When the background isn't that obvious (2)
2024-10-15T00:00:00.000Z,Managing chat model memory
2024-07-14T00:00:00.000Z,Split up a function (2)
2024-11-02T00:00:00.000Z,Cloud computing services
2024-09-25T00:00:00.000Z,Exploring prompt engineering
2024-08-17T00:00:00.000Z,Capstone Crawler
2024-07-21T00:00:00.000Z,String formatting review
2024-09-02T00:00:00.000Z,Features and labels
2024-09-23T00:00:00.000Z,Combinations of Pokémon
2024-09-26T00:00:00.000Z,Ethics and environment
2024-09-01T00:00:00.000Z,Ordering categories (1)
2024-06-13T00:00:00.000Z,Built-in practice: enumerate()
2024-09-01T00:00:00.000Z,Updating categorical plots (4)
2024-09-05T00:00:00.000Z,Importing entire text files
2024-10-03T00:00:00.000Z,Deployment
2024-11-01T00:00:00.000Z,Logarithmic scales for line plots
2024-07-20T00:00:00.000Z,Method inheritance (1)
2024-09-08T00:00:00.000Z,Manipulating datasets (2)
2024-08-13T00:00:00.000Z,A true step
2024-05-11T00:00:00.000Z,Tables and scatter charts
2024-10-18T00:00:00.000Z,Using your package's new functionality
2024-06-11T00:00:00.000Z,List comprehensions vs. generators
2024-04-27T00:00:00.000Z,Turning off interactions
2024-11-02T00:00:00.000Z,Dual axes
2024-08-13T00:00:00.000Z,Evaluating performance
2024-09-26T00:00:00.000Z,Building from scratch
2024-07-21T00:00:00.000Z,Properties
2024-06-10T00:00:00.000Z,Bringing it all together (1)
2024-09-10T00:00:00.000Z,Preparing a dataset (3)
2024-08-14T00:00:00.000Z,HyperText Markup Language
2024-09-25T00:00:00.000Z,One-shot chain-of-thought prompts
2024-04-26T00:00:00.000Z,Add a card
2024-09-01T00:00:00.000Z,Additional catplot() options
2024-04-26T00:00:00.000Z,Areas and related disciplines of AI
2024-09-25T00:00:00.000Z,Using conditional prompts
2024-06-15T00:00:00.000Z,Pop quiz: steps for using %lprun
2024-10-13T00:00:00.000Z,Getting started with ChromaDB
2024-10-04T00:00:00.000Z,Extracting the response
2024-07-21T00:00:00.000Z,Operator overloading: comparison
2024-07-20T00:00:00.000Z,Inheritance of class attributes (1)
2024-08-17T00:00:00.000Z,DataCamp Descriptions
2024-07-28T00:00:00.000Z,Histograms
2024-06-09T00:00:00.000Z,Bringing it all together (1)
2024-10-12T00:00:00.000Z,API requests with urllib
2024-08-13T00:00:00.000Z,Explore hyperparameter tuning
2024-10-18T00:00:00.000Z,Column selection: .iloc[] vs by name (2)
2024-09-25T00:00:00.000Z,Building specific and precise prompts
2024-08-14T00:00:00.000Z,Web Scraping Overview
2024-10-18T00:00:00.000Z,Writing docstrings
2024-08-17T00:00:00.000Z,Start Requests
2024-06-09T00:00:00.000Z,Bringing it all together (2)
2024-10-18T00:00:00.000Z,Adding functionality to your package (1)
2024-07-20T00:00:00.000Z,Using attributes in class definition (1)
2024-09-15T00:00:00.000Z,Importing SAS files
2024-10-03T00:00:00.000Z,Proprietary versus open-source models
2024-10-18T00:00:00.000Z,Adding functionality to a child class (1)
2024-10-04T00:00:00.000Z,Avoiding rate limits with retry
2024-07-20T00:00:00.000Z,Add a class constructor
2024-09-25T00:00:00.000Z,Generating a table
2024-10-13T00:00:00.000Z,Adding user history to the recommendation engine
2024-04-26T00:00:00.000Z,Getting started!
2024-10-18T00:00:00.000Z,Measuring time II (2)
2024-09-01T00:00:00.000Z,Ordering categories (4)
2024-11-01T00:00:00.000Z,Interpreting correlation heatmaps
2024-09-25T00:00:00.000Z,Adding guidelines for the learning advisor chatbot
2024-04-26T00:00:00.000Z,Transforming columns
2024-10-18T00:00:00.000Z,Naming packages
2024-10-07T00:00:00.000Z,Visualizing the embedded descriptions (1)
2024-08-28T00:00:00.000Z,Using flake8 to tidy up a file
2024-06-09T00:00:00.000Z,Scope and user-defined functions
2024-10-03T00:00:00.000Z,The right scaling strategy
2024-10-13T00:00:00.000Z,Embedding more detailed descriptions
2024-10-18T00:00:00.000Z,Adding functionality to your package (3)
2024-06-11T00:00:00.000Z,Iterating over iterables (2)
2024-07-15T00:00:00.000Z,Data sharing for AI progress
2024-09-15T00:00:00.000Z,Extracting data from your HDF5 file
2024-10-14T00:00:00.000Z,Querying the Netflix collection
2024-10-04T00:00:00.000Z,Extracting structured data from text
2024-09-02T00:00:00.000Z,Text moderation
2024-09-01T00:00:00.000Z,Exploring a target variable (1)
2024-10-18T00:00:00.000Z,Using inheritance to create a class
2024-09-01T00:00:00.000Z,Overcoming pitfalls: string issues (2)
2024-10-03T00:00:00.000Z,Choosing the right architecture
2024-08-21T00:00:00.000Z,Save a figure with different sizes (1)
2024-09-02T00:00:00.000Z,Content generation
2024-10-15T00:00:00.000Z,Building prompts for sequential chains
2024-10-03T00:00:00.000Z,Data sourcing
2024-09-25T00:00:00.000Z,Prompt engineering for chatbot development
2024-09-08T00:00:00.000Z,Transformer components
2024-09-01T00:00:00.000Z,Cleaning variables (4)
2024-06-13T00:00:00.000Z,A taste of things to come
2024-09-08T00:00:00.000Z,Comparing models with the pipeline (1)
2024-09-25T00:00:00.000Z,OpenAI API message roles
2024-08-21T00:00:00.000Z,Bar chart
2024-11-01T00:00:00.000Z,Ordering box plots
2024-10-04T00:00:00.000Z,Calling an external API
2024-07-21T00:00:00.000Z,Designing for inheritance and polymorphism
2024-08-28T00:00:00.000Z,Including licences and writing READMEs
2024-10-18T00:00:00.000Z,Refactoring for readability
2024-04-26T00:00:00.000Z,Cleaning data
2024-06-10T00:00:00.000Z,Pop quiz on lambda functions
2024-07-15T00:00:00.000Z,Team building!
2024-10-12T00:00:00.000Z,Constructing a URL with parameters (2)
2024-08-28T00:00:00.000Z,Running tox
2024-09-01T00:00:00.000Z,Setting dtype when reading data (1)
2024-07-28T00:00:00.000Z,Apply global thresholding
2024-09-02T00:00:00.000Z,Categorizing companies
2024-07-05T00:00:00.000Z,"Efficiently combining, counting, and iterating"
2024-10-18T00:00:00.000Z,Locate rows: .iloc[] and .loc[]
2024-06-10T00:00:00.000Z,The keyword nonlocal and nested functions
2024-08-21T00:00:00.000Z,Annotating a plot of time-series data
2024-10-05T00:00:00.000Z,Digging into the embeddings response
2024-07-21T00:00:00.000Z,Read-only properties
2024-09-03T00:00:00.000Z,Translating with prompts
2024-06-11T00:00:00.000Z,Processing data in chunks (1)
2024-10-18T00:00:00.000Z,Using doctest
2024-09-25T00:00:00.000Z,Customer support ticket routing
2024-09-02T00:00:00.000Z,Your first OpenAI API request!
2024-09-25T00:00:00.000Z,Text analysis
2024-09-02T00:00:00.000Z,Why use text moderation models?
2024-09-02T00:00:00.000Z,Supervised machine learning
2024-10-03T00:00:00.000Z,Relevancy of LLMOps
2024-06-11T00:00:00.000Z,Using pandas' read_csv iterator for streaming data
2024-10-13T00:00:00.000Z,Respecting API rate limits
2024-10-13T00:00:00.000Z,Recommendation systems
2024-07-15T00:00:00.000Z,Learning from customer reviews
2024-09-10T00:00:00.000Z,Filtering out audio files
2024-10-04T00:00:00.000Z,Handling the response with external API calls (1)
2024-10-13T00:00:00.000Z,Working with structured data
2024-11-04T00:00:00.000Z,Primary cloud services
2024-11-02T00:00:00.000Z,Congratulations
2024-06-11T00:00:00.000Z,Iterators vs. Iterables
2024-08-20T00:00:00.000Z,Introduction to data visualization with Matplotlib
2024-06-11T00:00:00.000Z,Using enumerate
2024-08-28T00:00:00.000Z,Utilizing editable installs
2024-08-21T00:00:00.000Z,Quantitative comparisons: bar-charts
2024-08-20T00:00:00.000Z,Small multiples
2024-09-02T00:00:00.000Z,Requesting moderation
2024-09-01T00:00:00.000Z,Collapsing categories knowledge check
2024-07-20T00:00:00.000Z,Understanding class definitions
2024-09-10T00:00:00.000Z,Grammatical correctness
2024-04-26T00:00:00.000Z,Introduction to Power BI
2024-09-01T00:00:00.000Z,Overcoming pitfalls: using NumPy arrays
2024-07-20T00:00:00.000Z,Changing class attributes
2024-09-10T00:00:00.000Z,Preparing a dataset (2)
2024-06-09T00:00:00.000Z,Multiple parameters and return values
2024-08-28T00:00:00.000Z,Uploading distributions
2024-10-04T00:00:00.000Z,Mitigating prompt injection
2024-08-25T00:00:00.000Z,Documentation
2024-09-01T00:00:00.000Z,Accessing and filtering data (3)
2024-09-10T00:00:00.000Z,Question answering and multi-modal tasks
2024-06-15T00:00:00.000Z,Code profiling for memory usage
2024-09-01T00:00:00.000Z,Setting categories
2024-07-20T00:00:00.000Z,Customizing a DataFrame (2)
2024-09-01T00:00:00.000Z,Removing categories (1)
2024-10-15T00:00:00.000Z,RAG storage and retrieval using vector databases
2024-09-02T00:00:00.000Z,Applications built on the OpenAI API
2024-11-01T00:00:00.000Z,"Qualitative, sequential, diverging"
2024-07-21T00:00:00.000Z,Managing data access: private attributes
2024-08-28T00:00:00.000Z,Writing some basic tests
2024-04-26T00:00:00.000Z,Power Query Editor
2024-06-11T00:00:00.000Z,Writing an iterator to load data in chunks (1)
2024-06-15T00:00:00.000Z,Bringing it all together: Festivus!
2024-09-03T00:00:00.000Z,Speech-to-Text Transcription with Whisper
2024-11-01T00:00:00.000Z,Adjusting bin width
2024-08-21T00:00:00.000Z,Unique values of a column
2024-08-13T00:00:00.000Z,It's a long way to the top
2024-06-10T00:00:00.000Z,Bringing it all together
2024-10-18T00:00:00.000Z,Measuring time I
2024-08-17T00:00:00.000Z,Survey
